id,forecastVolum
1,265
2,313
3,153
4,221
5,372
6,176
7,449
8,182
9,2121
10,331
11,625
12,181
13,301
14,322
15,626
16,365
17,289
18,283
19,513
20,100
21,299
22,248
23,326
24,350
25,245
26,218
27,631
28,423
29,940
30,325
31,7420
32,749
33,1158
34,427
35,727
36,746
37,1069
38,661
39,562
40,967
41,1010
42,273
43,402
44,487
45,138
46,323
47,215
48,329
49,422
50,142
51,391
52,155
53,1546
54,207
55,448
56,136
57,364
58,341
59,404
60,263
61,241
62,125
63,425
64,159
65,255
66,240
67,118
68,223
69,127
70,87
71,370
72,255
73,341
74,159
75,1911
76,326
77,769
78,267
79,322
80,447
81,899
82,462
83,433
84,480
85,332
86,136
87,207
88,179
89,191
90,3471
91,473
92,76
93,1408
94,1520
95,3304
96,1793
97,1405
98,2249
99,1809
100,847
101,3057
102,4775
103,1200
104,1270
105,1457
106,443
107,891
108,257
109,1985
110,448
111,280
112,506
113,486
114,62
115,1019
116,1181
117,1613
118,565
119,5419
120,603
121,1470
122,760
123,1894
124,2365
125,883
126,1183
127,1380
128,373
129,308
130,608
131,579
132,366
133,1132
134,213
135,159
136,1157
137,357
138,353
139,1099
140,256
141,964
142,142
143,1114
144,210
145,625
146,760
147,844
148,264
149,199
150,226
151,358
152,137
153,339
154,172
155,259
156,60
157,23
158,45
159,171
160,312
161,275
162,35
163,195
164,69
165,698
166,164
167,122
168,218
169,429
170,178
171,168
172,90
173,32
174,63
175,98
176,17
177,648
178,314
179,230
180,355
181,775
182,736
183,850
184,331
185,754
186,263
187,1074
188,664
189,571
190,809
191,703
192,800
193,846
194,373
195,211
196,336
197,321
198,115
199,565
200,241
201,201
202,53
203,966
204,1120
205,1402
206,441
207,724
208,449
209,1776
210,820
211,943
212,1183
213,1069
214,721
215,756
216,613
217,215
218,230
219,494
220,100
221,84
222,352
223,215
224,151
225,1137
226,675
227,1543
228,613
229,920
230,636
231,941
232,708
233,1165
234,1936
235,1078
236,778
237,809
238,604
239,187
240,518
241,978
242,103
243,56
244,428
245,274
246,50
247,798
248,561
249,1248
250,670
251,767
252,532
253,582
254,579
255,1446
256,1295
257,614
258,580
259,750
260,270
261,367
262,387
263,854
264,223
265,103
266,843
267,484
268,55
269,1367
270,1049
271,1757
272,653
273,887
274,646
275,1175
276,861
277,1692
278,2155
279,810
280,927
281,895
282,465
283,264
284,439
285,757
286,414
287,339
288,1323
289,718
290,228
291,2191
292,2152
293,2875
294,750
295,1694
296,834
297,2838
298,1208
299,2117
300,5219
301,1528
302,1608
303,2064
304,741
305,772
306,863
307,969
308,570
309,509
310,443
311,445
312,602
313,640
314,687
315,1067
316,575
317,414
318,136
319,1215
320,345
321,1190
322,873
323,576
324,301
325,432
326,255
327,181
328,390
329,509
330,70
331,42
332,865
333,488
334,202
335,1227
336,354
337,1619
338,639
339,1108
340,396
341,555
342,366
343,1709
344,1292
345,459
346,422
347,1026
348,418
349,680
350,173
351,550
352,783
353,708
354,696
355,338
356,296
357,1104
358,1225
359,1562
360,741
361,757
362,416
363,1509
364,789
365,1529
366,1915
367,975
368,722
369,851
370,628
371,371
372,647
373,671
374,244
375,274
376,628
377,565
378,83
379,1000
380,691
381,1794
382,1115
383,483
384,294
385,1081
386,493
387,1430
388,1312
389,556
390,286
391,496
392,343
393,514
394,284
395,701
396,389
397,331
398,465
399,505
400,886
401,1044
402,684
403,1558
404,472
405,828
406,281
407,1246
408,374
409,1640
410,1450
411,717
412,592
413,557
414,475
415,605
416,453
417,523
418,786
419,319
420,251
421,67
422,78
423,339
424,375
425,517
426,57
427,466
428,118
429,631
430,304
431,330
432,305
433,713
434,308
435,349
436,197
437,126
438,162
439,117
440,101
441,375
442,504
443,434
444,296
445,1221
446,823
447,1103
448,444
449,634
450,328
451,1326
452,492
453,1435
454,1214
455,935
456,659
457,571
458,506
459,501
460,334
461,494
462,438
463,289
464,147
465,166
466,249
467,345
468,338
469,676
470,139
471,337
472,110
473,830
474,164
475,746
476,596
477,724
478,190
479,177
480,170
481,173
482,67
483,179
484,168
485,33
486,58
487,57
488,30
489,119
490,360
491,558
492,181
493,78
494,76
495,203
496,79
497,493
498,315
499,67
500,133
501,133
502,36
503,94
504,73
505,105
506,76
507,597
508,254
509,90
510,611
511,637
512,336
513,546
514,105
515,1184
516,140
517,1469
518,262
519,338
520,359
521,1341
522,366
523,332
524,521
525,232
526,274
527,256
528,61
529,343
530,182
531,108
532,200
533,410
534,237
535,348
536,112
537,682
538,156
539,783
540,166
541,232
542,223
543,735
544,336
545,225
546,280
547,136
548,163
549,153
550,65
551,637
552,307
553,126
554,720
555,640
556,329
557,549
558,149
559,1160
560,164
561,1186
562,234
563,344
564,336
565,1070
566,447
567,301
568,419
569,257
570,286
571,283
572,76
573,103
574,24
575,17
576,69
577,77
578,62
579,118
580,14
581,126
582,13
583,199
584,15
585,89
586,48
587,212
588,35
589,30
590,21
591,29
592,14
593,33
594,11
595,460
596,190
597,136
598,438
599,524
600,362
601,504
602,129
603,711
604,110
605,1082
606,193
607,398
608,379
609,1113
610,358
611,344
612,238
613,318
614,175
615,276
616,111
617,305
618,145
619,99
620,138
621,277
622,193
623,369
624,102
625,499
626,94
627,664
628,142
629,261
630,211
631,684
632,299
633,207
634,199
635,97
636,93
637,118
638,51
639,442
640,247
641,158
642,605
643,507
644,325
645,551
646,127
647,1034
648,155
649,1095
650,247
651,393
652,391
653,907
654,486
655,392
656,277
657,272
658,185
659,272
660,107
661,453
662,230
663,67
664,447
665,480
666,355
667,424
668,64
669,1107
670,137
671,1055
672,188
673,334
674,320
675,1108
676,286
677,342
678,322
679,178
680,208
681,200
682,63
683,214
684,638
685,131
686,74
687,441
688,1058
689,1841
690,458
691,2491
692,2172
693,1490
694,458
695,1232
696,4368
697,744
698,491
699,931
700,366
701,417
702,160
703,650
704,345
705,441
706,201
707,313
708,61
709,558
710,342
711,697
712,161
713,184
714,93
715,931
716,296
717,541
718,511
719,443
720,188
721,354
722,215
723,62
724,129
725,521
726,69
727,362
728,149
729,64
730,68
731,172
732,116
733,268
734,63
735,137
736,39
737,407
738,82
739,165
740,188
741,246
742,86
743,127
744,86
745,35
746,89
747,127
748,25
749,173
750,96
751,94
752,372
753,404
754,198
755,585
756,157
757,1113
758,283
759,675
760,245
761,400
762,284
763,591
764,504
765,388
766,548
767,225
768,317
769,160
770,70
771,184
772,368
773,468
774,548
775,703
776,194
777,653
778,265
779,1525
780,293
781,544
782,253
783,675
784,607
785,600
786,946
787,527
788,361
789,556
790,489
791,502
792,296
793,75
794,148
795,109
796,42
797,299
798,168
799,268
800,106
801,598
802,149
803,448
804,223
805,217
806,293
807,398
808,195
809,293
810,192
811,104
812,123
813,105
814,80
815,281
816,250
817,372
818,222
819,745
820,493
821,1379
822,701
823,6297
824,1279
825,1228
826,887
827,1127
828,1241
829,983
830,732
831,1192
832,861
833,930
834,468
835,405
836,577
837,204
838,436
839,330
840,322
841,472
842,478
843,1080
844,477
845,1965
846,354
847,621
848,412
849,693
850,1007
851,706
852,1027
853,648
854,692
855,656
856,198
857,529
858,516
859,146
860,295
861,203
862,98
863,350
864,343
865,506
866,236
867,1212
868,276
869,741
870,290
871,418
872,587
873,723
874,666
875,334
876,427
877,277
878,135
879,235
880,204
881,168
882,11
883,22
884,171
885,38
886,60
887,275
888,99
889,697
890,23
891,293
892,34
893,219
894,135
895,337
896,51
897,35
898,72
899,95
900,16
901,25
902,34
903,186
904,293
905,119
906,101
907,411
908,304
909,537
910,203
911,2460
912,292
913,631
914,305
915,451
916,420
917,673
918,502
919,416
920,524
921,279
922,146
923,139
924,153
925,254
926,129
927,173
928,359
929,338
930,350
931,687
932,285
933,1873
934,126
935,793
936,211
937,623
938,546
939,916
940,485
941,444
942,436
943,623
944,150
945,209
946,325
947,212
948,64
949,40
950,247
951,231
952,99
953,213
954,33
955,333
956,26
957,213
958,54
959,113
960,115
961,95
962,102
963,108
964,90
965,69
966,97
967,99
968,39
969,111
970,87
971,69
972,15
973,226
974,480
975,439
976,114
977,410
978,71
979,601
980,330
981,273
982,636
983,645
984,255
985,187
986,169
987,42
988,25
989,89
990,30
991,14
992,79
993,65
994,23
995,214
996,216
997,429
998,16
999,48
1000,22
1001,421
1002,179
1003,203
1004,281
1005,319
1006,242
1007,200
1008,89
1009,69
1010,11
1011,119
1012,58
1013,209
1014,120
1015,50
1016,116
1017,605
1018,676
1019,683
1020,123
1021,674
1022,166
1023,1503
1024,410
1025,438
1026,1501
1027,873
1028,449
1029,432
1030,393
1031,113
1032,290
1033,219
1034,64
1035,32
1036,196
1037,315
1038,37
1039,674
1040,236
1041,1419
1042,657
1043,433
1044,250
1045,405
1046,203
1047,1093
1048,897
1049,454
1050,215
1051,252
1052,222
1053,563
1054,107
1055,300
1056,254
1057,264
1058,322
1059,184
1060,185
1061,645
1062,780
1063,731
1064,193
1065,641
1066,172
1067,906
1068,689
1069,723
1070,1181
1071,1010
1072,580
1073,523
1074,321
1075,135
1076,235
1077,341
1078,102
1079,132
1080,130
1081,30
1082,41
1083,197
1084,192
1085,318
1086,63
1087,193
1088,97
1089,509
1090,131
1091,339
1092,246
1093,278
1094,149
1095,117
1096,169
1097,37
1098,90
1099,126
1100,32
1123,365
1124,217
1125,40
1126,80
1127,550
1128,574
1129,452
1130,57
1131,900
1132,214
1133,1015
1134,318
1135,340
1136,503
1137,698
1138,359
1139,341
1140,491
1141,73
1142,339
1143,173
1144,50
1145,278
1146,342
1147,171
1148,297
1149,566
1150,242
1151,572
1152,124
1153,991
1154,178
1155,494
1156,162
1157,479
1158,487
1159,377
1160,298
1161,362
1162,179
1163,182
1164,370
1165,255
1166,207
1167,230
1168,296
1169,149
1170,77
1171,693
1172,938
1173,897
1174,252
1175,761
1176,389
1177,1110
1178,459
1179,686
1180,1504
1181,549
1182,450
1183,753
1184,393
1185,127
1186,400
1187,658
1188,88
1189,37
1190,85
1191,144
1192,26
1193,158
1194,185
1195,391
1196,89
1197,48
1198,25
1199,111
1200,131
1201,200
1202,393
1203,63
1204,169
1205,540
1206,27
1207,54
1208,108
1209,324
1210,82
1211,94
1212,426
1213,371
1214,90
1215,1143
1216,439
1217,680
1218,540
1219,555
1220,242
1221,586
1222,299
1223,951
1224,893
1225,396
1226,270
1227,521
1228,186
1229,125
1230,676
1231,593
1232,103
1233,244
1234,694
1235,580
1236,208
1237,1820
1238,776
1239,914
1240,437
1241,941
1242,301
1243,1243
1244,441
1245,910
1246,1406
1247,747
1248,571
1249,1078
1250,384
1251,187
1252,1345
1253,861
1254,159
1255,17
1256,585
1257,30
1258,101
1259,341
1260,110
1261,285
1262,85
1263,305
1264,22
1265,350
1266,53
1267,379
1268,398
1269,250
1270,272
1271,241
1272,68
1273,124
1274,369
1275,132
1276,21
1277,62
1278,125
1279,86
1280,53
1281,445
1282,165
1283,310
1284,115
1285,234
1286,119
1287,297
1288,111
1289,441
1290,376
1291,150
1292,55
1293,201
1294,87
1295,27
1296,525
1297,315
1298,14
1299,341
1300,65
1301,67
1302,30
1303,371
1304,428
1305,373
1306,124
1307,271
1308,117
1309,663
1310,280
1311,310
1312,580
1313,289
1314,280
1315,305
1316,102
1317,39
1318,72
1319,127
1320,13
1321,97
1322,90
1323,67
1324,56
1325,248
1326,167
1327,139
1328,32
1329,555
1330,182
1331,361
1332,97
1333,104
1334,110
1335,332
1336,231
1337,311
1338,109
1339,69
1340,114
1341,257
1342,46
1343,170
1344,190
1345,115
1346,233
1347,243
1348,92
1349,285
1350,131
1351,1797
1352,207
1353,478
1354,95
1355,204
1356,233
1357,391
1358,229
1359,170
1360,176
1361,488
1362,60
1363,192
1364,185
1365,263
1366,253
1367,167
1368,215
1369,456
1370,255
1371,694
1372,239
1373,6031
1374,540
1375,1308
1376,290
1377,555
1378,499
1379,1123
1380,481
1381,391
1382,837
1383,1183
1384,189
1385,265
1386,506
1387,92
1388,182
1389,138
1390,265
1391,225
1392,81
1393,216
1394,105
1395,1221
1396,112
1397,283
1398,67
1399,247
1400,183
1401,244
1402,153
1403,137
1404,73
1405,281
1406,94
1407,149
1408,145
1409,93
1410,127
1411,88
1412,65
1413,218
1414,141
1415,211
1416,99
1417,1423
1418,201
1419,606
1420,153
1421,278
1422,246
1423,685
1424,257
1425,238
1426,271
1427,246
1428,82
1429,125
1430,132
1431,156
1432,3045
1433,430
1434,76
1435,1431
1436,1550
1437,3058
1438,1461
1439,1542
1440,1844
1441,2072
1442,735
1443,3157
1444,3477
1445,1278
1446,1230
1447,1423
1448,439
1449,841
1450,177
1451,1205
1452,453
1453,139
1454,243
1455,268
1456,44
1457,561
1458,766
1459,911
1460,293
1461,3282
1462,305
1463,1070
1464,345
1465,1419
1466,1481
1467,451
1468,691
1469,875
1470,192
1471,171
1472,259
1473,239
1474,259
1475,1080
1476,145
1477,128
1478,1263
1479,261
1480,253
1481,868
1482,187
1483,596
1484,100
1485,971
1486,142
1487,477
1488,514
1489,551
1490,174
1491,152
1492,169
1493,265
1494,112
1495,237
1496,165
1497,160
1498,34
1499,22
1500,37
1501,111
1502,170
1503,159
1504,34
1505,106
1506,36
1507,465
1508,97
1509,73
1510,122
1511,231
1512,101
1513,94
1514,51
1515,32
1516,29
1517,52
1518,21
1519,416
1520,216
1521,147
1522,278
1523,430
1524,337
1525,434
1526,198
1527,370
1528,140
1529,744
1530,325
1531,316
1532,468
1533,403
1534,417
1535,390
1536,223
1537,140
1538,204
1539,175
1540,93
1541,422
1542,147
1543,151
1544,54
1545,630
1546,794
1547,1322
1548,300
1549,434
1550,263
1551,2219
1552,478
1553,717
1554,977
1555,863
1556,409
1557,472
1558,340
1559,163
1560,145
1561,247
1562,105
1563,58
1564,195
1565,128
1566,115
1567,719
1568,384
1569,966
1570,297
1571,472
1572,311
1573,631
1574,369
1575,798
1576,1000
1577,773
1578,386
1579,406
1580,329
1581,134
1582,279
1583,457
1584,81
1585,36
1586,242
1587,173
1588,45
1589,398
1590,310
1591,827
1592,405
1593,390
1594,275
1595,377
1596,279
1597,1049
1598,766
1599,326
1600,300
1601,357
1602,160
1603,233
1604,196
1605,397
1606,151
1607,77
1608,525
1609,300
1610,44
1611,1166
1612,667
1613,1089
1614,413
1615,430
1616,362
1617,1000
1618,410
1619,1234
1620,1083
1621,517
1622,441
1623,426
1624,317
1625,187
1626,254
1627,399
1628,350
1629,209
1630,810
1631,402
1632,141
1633,1066
1634,926
1635,1495
1636,411
1637,881
1638,383
1639,1960
1640,551
1641,1393
1642,1792
1643,977
1644,700
1645,913
1646,375
1647,462
1648,383
1649,400
1650,384
1651,388
1652,264
1653,281
1654,581
1655,374
1656,374
1657,759
1658,419
1659,246
1660,73
1661,1010
1662,177
1663,974
1664,525
1665,349
1666,160
1667,250
1668,138
1669,123
1670,233
1671,313
1672,59
1673,38
1674,585
1675,375
1676,189
1677,1311
1678,248
1679,1629
1680,454
1681,959
1682,264
1683,487
1684,203
1685,1758
1686,953
1687,366
1688,260
1689,646
1690,280
1691,618
1692,111
1693,328
1694,762
1695,539
1696,441
1697,234
1698,204
1699,888
1700,877
1701,1130
1702,529
1703,437
1704,239
1705,1539
1706,436
1707,1226
1708,1177
1709,731
1710,409
1711,556
1712,379
1713,247
1714,375
1715,418
1716,169
1717,258
1718,306
1719,305
1720,67
1721,641
1722,401
1723,1319
1724,795
1725,279
1726,159
1727,824
1728,231
1729,1424
1730,956
1731,372
1732,146
1733,267
1734,175
1735,366
1736,180
1737,367
1738,283
1739,194
1740,258
1741,321
1742,752
1743,613
1744,372
1745,1034
1746,309
1747,390
1748,139
1749,961
1750,192
1751,1483
1752,981
1753,417
1754,308
1755,282
1756,257
1757,474
1758,234
1759,294
1760,672
1761,269
1762,180
1763,49
1764,72
1765,276
1766,267
1767,336
1768,48
1769,307
1770,79
1771,498
1772,209
1773,275
1774,259
1775,528
1776,225
1777,255
1778,168
1779,108
1780,109
1781,96
1782,94
1783,249
1784,278
1785,262
1786,260
1787,941
1788,547
1789,886
1790,300
1791,359
1792,191
1793,1343
1794,262
1795,1405
1796,919
1797,753
1798,384
1799,300
1800,299
1801,407
1802,189
1803,256
1804,396
1805,387
1806,162
1807,148
1808,351
1809,393
1810,338
1811,829
1812,140
1813,338
1814,96
1815,1143
1816,158
1817,835
1818,630
1819,944
1820,213
1821,224
1822,198
1823,186
1824,63
1825,184
1826,182
1827,29
1828,27
1829,40
1830,30
1831,73
1832,196
1833,285
1834,106
1835,54
1836,39
1837,108
1838,36
1839,302
1840,147
1841,35
1842,60
1843,70
1844,27
1845,63
1846,44
1847,49
1848,62
1849,460
1850,133
1851,60
1852,471
1853,350
1854,182
1855,333
1856,80
1857,857
1858,89
1859,1176
1860,138
1861,219
1862,207
1863,1028
1864,213
1865,187
1866,264
1867,167
1868,166
1869,144
1870,48
1871,186
1872,104
1873,66
1874,136
1875,231
1876,127
1877,171
1878,65
1879,350
1880,84
1881,457
1882,91
1883,142
1884,118
1885,415
1886,168
1887,121
1888,148
1889,88
1890,86
1891,88
1892,36
1893,391
1894,167
1895,84
1896,539
1897,341
1898,169
1899,301
1900,98
1901,725
1902,98
1903,862
1904,121
1905,202
1906,183
1907,726
1908,222
1909,170
1910,219
1911,163
1912,146
1913,153
1914,60
1915,99
1916,34
1917,19
1918,61
1919,74
1920,58
1921,126
1922,18
1923,120
1924,16
1925,239
1926,21
1927,91
1928,67
1929,250
1930,56
1931,44
1932,32
1933,40
1934,20
1935,41
1936,21
1937,315
1938,121
1939,91
1940,288
1941,305
1942,219
1943,309
1944,88
1945,395
1946,62
1947,793
1948,115
1949,280
1950,226
1951,791
1952,205
1953,191
1954,140
1955,218
1956,111
1957,163
1958,90
1959,207
1960,102
1961,75
1962,122
1963,190
1964,134
1965,240
1966,68
1967,281
1968,69
1969,533
1970,101
1971,183
1972,136
1973,490
1974,182
1975,131
1976,128
1977,76
1978,61
1979,76
1980,37
1981,281
1982,146
1983,112
1984,390
1985,298
1986,186
1987,306
1988,85
1989,557
1990,95
1991,763
1992,129
1993,261
1994,248
1995,611
1996,263
1997,213
1998,157
1999,177
2000,114
2001,162
2002,83
2003,354
2004,156
2005,37
2006,298
2007,304
2008,220
2009,275
2010,54
2011,715
2012,83
2013,855
2014,121
2015,226
2016,205
2017,885
2018,169
2019,204
2020,185
2021,135
